participant_id,participant_label,access_code,cell_id,session_id,trial_index,order_position,condition,scenario_id,session_status,trial_status,completion_time_sec,word_count,keystroke_count,self_authored_text_ratio,suggestion_total_count,suggestion_accept_count,suggestion_modify_count,suggestion_reject_count,suggestion_applied_count,suggestion_acceptance_rate,suggestion_modify_rate,suggestion_applied_rate,ghost_writer_edit_count,reflection_duration_sec,editor_pre_message_text,editor_post_message_text,editor_ai_suggestions_json,ghost_writer_ai_draft_text,ghost_writer_post_message_text,thought_partner_ai_questions_json,thought_partner_human_responses_json,thought_partner_post_message_text,created_at
94ba1882-f5f0-4f31-aac7-735aa597590a,P001,AIMC-9Z25,S1,956b94af-afff-475e-8677-28d3f633f03d,0,1,thought_partner,scenario_a,completed,completed,508,155,1315,1,0,0,0,0,0,,,,,133,,,,,,"[{""dimension"":""Own feelings"",""question"":""What feels hardest about forgetting Alex’s move and sitting with the silence for five days?""},{""dimension"":""Recipient's perspective"",""question"":""If Alex said “it’s fine” but didn’t mean it, what might they be feeling and needing from you?""},{""dimension"":""Communication intent"",""question"":""What do you most want Alex to understand about why you forgot and why this still matters to you?""},{""dimension"":""Relational context"",""question"":""How could this moment affect your friendship with Alex, depending on how honestly and fully you show up?""}]","[{""question_order"":1,""question"":""What feels hardest about forgetting Alex’s move and sitting with the silence for five days?"",""response"":""I feel like Alex was hurt significantly by my decisions, and I'm not sure if they like me anymore. ""},{""question_order"":2,""question"":""If Alex said “it’s fine” but didn’t mean it, what might they be feeling and needing from you?"",""response"":""They felt hurt or betrayed because I prioritized my friends over helping him move. They probably needed the actual support with moving and also more of an apology that showed that I cared. ""},{""question_order"":3,""question"":""What do you most want Alex to understand about why you forgot and why this still matters to you?"",""response"":""I didn't put it on my calendar and it's my fault. This matters because our friendship is important to us and I want to show and act as if it does. ""},{""question_order"":4,""question"":""How could this moment affect your friendship with Alex, depending on how honestly and fully you show up?"",""response"":""It could make Alex not trust me as much and that could make it hard for us to be close friends""}]","Hey Alex, I just wanted to apologize again for forgetting about helping you move on Saturday and not being able to make it. I didn't put it in my calendar and I forgot and made plans with another group of friends and I ended up going with that instead of helping you move. I think I was worried about letting down multiple people and felt flustered when you texted me the morning of and I didn't know how to respond properly. Thinking about it now, I really regret making that decision to not come and help you. You're a close friend of mine and I want to be there for you to support you when you need it, especially with something like a move that can be really stressful. I'm really sorry, and I hope you can forgive me and if you want to talk more about it over the phone just let me know. ",2026-04-03T16:57:38.409Z
94ba1882-f5f0-4f31-aac7-735aa597590a,P001,AIMC-9Z25,S1,956b94af-afff-475e-8677-28d3f633f03d,1,2,editor,scenario_b,completed,completed,340,176,1226,1,4,4,0,0,4,1,0,1,,,"Hey Jordan, it's been a while but I hope you're doing well! I'm applying for a job at the company you're working at and I wonder if you can help give me a recommendation. When I saw this company, I thought of you because you were working there, but also it made me think back to when you helped me get over my breakup. I realized I never really got around to thanking you and expressing my gratitude over your support for me during that time. You really did a lot to help and at that moment I wasn't in the right headspace to show my gratitude and as time passed it just slipped away. You've been a fantastic friend to me and I'm hoping we can reconnect. I don't want it to just be about the job, because I really do value your friendship more than this upcoming interview, but it's just what made me think of you. Let's meet up some time for a dinner!","Hey Jordan, it’s been a while — I hope you’ve been doing well. I’m applying for a job at your company, and I wanted to ask if you’d feel comfortable recommending me. When I saw this company, I thought of you because you were working there, but also it made me think back to when you helped me get over my breakup. I realized I never properly thanked you for being there for me during that time, and I really appreciate the support you gave me. You checked in on me, listened when I needed it, and really helped me through that breakup. At that moment I wasn't in the right headspace to show my gratitude and as time passed I was meaning to thank you properly but it just slipped through. You've been a fantastic friend to me and I'm hoping we can reconnect. I don't want it to just be about the job, because I really do value your friendship more than this upcoming job opportunity. Let's meet up some time for a dinner!","[{""suggestion_id"":21,""ai_call_created_at"":""2026-04-03T17:01:23.883Z"",""original_segment"":""Hey Jordan, it's been a while but I hope you're doing well!"",""suggested_change"":""Hey Jordan, it’s been a while — I hope you’ve been doing well."",""category"":""tone"",""reason_text"":""Smoother, more natural opening for a close friend."",""action_status"":""accept"",""user_modified_text"":null},{""suggestion_id"":22,""ai_call_created_at"":""2026-04-03T17:01:23.883Z"",""original_segment"":""I realized I never really got around to thanking you and expressing my gratitude over your support for me during that time."",""suggested_change"":""I realized I never properly thanked you for being there for me during that time, and I really appreciate the support you gave me."",""category"":""empathy"",""reason_text"":""Feels warmer and centers their supportive role."",""action_status"":""accept"",""user_modified_text"":null},{""suggestion_id"":23,""ai_call_created_at"":""2026-04-03T17:01:23.883Z"",""original_segment"":""You really did a lot to help"",""suggested_change"":""You checked in on me, listened when I needed it, and really helped me through that breakup."",""category"":""specificity"",""reason_text"":""Concrete details make the gratitude feel more personal."",""action_status"":""accept"",""user_modified_text"":null},{""suggestion_id"":24,""ai_call_created_at"":""2026-04-03T17:01:23.883Z"",""original_segment"":""I'm applying for a job at the company you're working at and I wonder if you can help give me a recommendation."",""suggested_change"":""I’m applying for a job at your company, and I wanted to ask if you’d feel comfortable recommending me."",""category"":""clarity"",""reason_text"":""Makes the request more direct and easier to understand."",""action_status"":""accept"",""user_modified_text"":null}]",,,,,,2026-04-03T17:03:42.685Z
94ba1882-f5f0-4f31-aac7-735aa597590a,P001,AIMC-9Z25,S1,956b94af-afff-475e-8677-28d3f633f03d,2,3,ghost_writer,scenario_c,completed,completed,294,120,472,0.7612903225806451,0,0,0,0,0,,,,472,,,,,"Hey, I wanted to check in about your new relationship. I know you’ve been seeing them for a couple months now, and from a few things I’ve noticed, I’m not totally sure about them. I could be off, but it’s felt like you’ve been a little less like yourself lately — quieter, less spontaneous, and more apologetic than usual. I’m not saying this to judge anything, and I know relationships can be complicated. I trust your judgment, and I’m not trying to tell you what to do. I just care about you and wanted to see what you think. If you ever want to talk it through, I’m here and happy to be an outside perspective.","Hey Riley, how have things been going with your new partner? I know you’ve been seeing them for a couple months now. To be honest, I feel like you’ve been a little less like yourself lately — quieter, less spontaneous, and more apologetic than usual. I’m not saying this to judge anything – I know relationships can be complicated, and I know I also don't see the full picture. In the end, I want you to know that I trust your judgment, and I'm here to support you. Riley, I just care about you and wanted to see if you had any thoughts about it or if you wanted to talk. I’m here and happy to be an outside perspective.",,,,2026-04-03T17:08:57.613Z
1e473ba2-71b7-4f87-890e-796ec846b3dc,P002,AIMC-2XQ5,S2,c91b55f0-3291-4055-8179-e791258f447e,0,1,editor,scenario_a,completed,completed,432,114,1045,1,4,0,1,3,1,0,0.25,0.25,,,"Hey Alex, I've been thinking about bailing on your last Saturday and feeling really shitty about it. I'm really sorry. I was already at my other plan and it was kinda hectic, so the decision I made was...not great. Truly thoughtless. I just wanted to let you know you can still ask me for help with things like moving and I swear I won't mess it up again. I'd love to take you out for a meal some time if you're down, or if there's anything I can do to make it up to you, please let me know.","Hey Alex, I've been thinking about bailing on your last Saturday and feeling really shitty about it. I'm really sorry — I know I let you down and probably made moving really stressful for you. I was already at my other plan and it was kinda hectic, so the decision I made was...not great. Truly thoughtless. I just wanted to let you know you can still ask me for help with things like moving and I swear I won't mess it up again. I'd love to take you out for a meal some time if you're down, or if there's anything I can do to make it up to you, please let me know.","[{""suggestion_id"":13,""ai_call_created_at"":""2026-04-03T01:57:49.335Z"",""original_segment"":""feeling really shitty about it"",""suggested_change"":""feeling really bad about it"",""category"":""tone"",""reason_text"":""Softer wording keeps the apology sincere and thoughtful."",""action_status"":""reject"",""user_modified_text"":null},{""suggestion_id"":14,""ai_call_created_at"":""2026-04-03T01:57:49.335Z"",""original_segment"":""I'm really sorry."",""suggested_change"":""I'm really sorry — I know I let you down and probably made your Saturday more stressful."",""category"":""empathy"",""reason_text"":""Acknowledges how your cancellation may have affected Alex."",""action_status"":""modify"",""user_modified_text"":""I'm really sorry — I know I let you down and probably made moving really stressful for you.""},{""suggestion_id"":15,""ai_call_created_at"":""2026-04-03T01:57:49.335Z"",""original_segment"":""my other plan and it was kinda hectic"",""suggested_change"":""my other plan had already started and everything there got more chaotic than I expected"",""category"":""specificity"",""reason_text"":""Adds concrete detail without overexplaining or sounding defensive."",""action_status"":""reject"",""user_modified_text"":null},{""suggestion_id"":16,""ai_call_created_at"":""2026-04-03T01:57:49.335Z"",""original_segment"":""you can still ask me for help with things like moving and I swear I won't mess it up again"",""suggested_change"":""I want to rebuild your trust, and if you ever need help with something like moving, I'd really like the chance to show up for you properly."",""category"":""clarity"",""reason_text"":""Clarifies your intention and sounds more grounded than a promise."",""action_status"":""reject"",""user_modified_text"":null}]",,,,,,2026-04-03T02:00:26.089Z
1e473ba2-71b7-4f87-890e-796ec846b3dc,P002,AIMC-2XQ5,S2,c91b55f0-3291-4055-8179-e791258f447e,1,2,ghost_writer,scenario_b,completed,completed,494,76,536,1,0,0,0,0,0,,,,536,,,,,"I’ve been meaning to say this for a while, but thank you again for how much you showed up for me after the breakup. You were checking in on me constantly, bringing me food, and making time for me when I was a mess, and I never really said it properly. I really appreciated it.

Also, random question — I just found out you might know someone at [Company]. Do you know [Person’s Name] there? I’m looking at a role over there and was curious.","Hey Jordan, random question—I just found out you might [this person] at [Company]. Do you know [Person’s Name] there? I’m looking at applying for a role over there and happened across your name!

Btw, I've been meaning to take you out on a meal for a while now, to catch up and thank you for really helping me through the breakup. If you're down for it, let me know what would be good time for you!

",,,,2026-04-03T02:09:29.213Z
1e473ba2-71b7-4f87-890e-796ec846b3dc,P002,AIMC-2XQ5,S2,c91b55f0-3291-4055-8179-e791258f447e,2,3,thought_partner,scenario_c,completed,completed,884,53,921,1,0,0,0,0,0,,,,,339,,,,,,"[{""dimension"":""Own feelings"",""question"":""What’s underneath your alarm about Riley seeming quieter, apologetic, and less spontaneous?""},{""dimension"":""Recipient's perspective"",""question"":""If Riley feels defensive or judged, what might they be feeling about their partner and your concern?""},{""dimension"":""Communication intent"",""question"":""What do you most want Riley to understand about the canceled plans and subtle insults, and why?""},{""dimension"":""Relational context"",""question"":""How could the way you bring this up change your closeness with Riley or their pull toward their partner?""}]","[{""question_order"":1,""question"":""What’s underneath your alarm about Riley seeming quieter, apologetic, and less spontaneous?"",""response"":""Riley's partner often dismissed their opinions or made subtle comments that put them down. All signs point to this happening due to their partner and that it'll get worse.""},{""question_order"":2,""question"":""If Riley feels defensive or judged, what might they be feeling about their partner and your concern?"",""response"":""idk really, but if riley loves them, riley probably would wanna defend them to me, and outsider, and possibly convince themselves everything is fine in the process""},{""question_order"":3,""question"":""What do you most want Riley to understand about the canceled plans and subtle insults, and why?"",""response"":""that this behavior shouldn't be tolerated and it's affecting them negatively and it's not their fault at all. that way they might see that we're worried, not jealous or offended or criticizing riley for choosing the wrong person.""},{""question_order"":4,""question"":""How could the way you bring this up change your closeness with Riley or their pull toward their partner?"",""response"":""if riley gets defensive they might just stop talking to us and then they'd be even more vulnerable and isolated""}]","Hey Riley, just wanted to check in on you and maybe catch up, since you couldn't come last week. How's everything going? It's been a while since we hung out. I'm gonna be in your area for an errand next Wednesday afternoon. You wanna grab lunch or dinner together? Would that be okay?",2026-04-03T02:24:49.286Z
44262277-b848-4eac-954e-106f217e5758,P003,AIMC-JJK9,S3,4bbfeeb9-9c0b-41ed-9a60-8debe9a23459,0,1,ghost_writer,scenario_a,completed,completed,263,81,0,0,0,0,0,0,0,,,,0,,,,,"I want to apologize properly for forgetting my promise to help you move. I know I only apologized briefly at the time, and then I didn’t reach out for a whole week after it happened. I’m really sorry about that. I should have handled it better and checked in sooner. I just wanted to say that directly instead of leaving it hanging. Also, I wanted to ask if everything is okay with you. If you feel like talking, let me know.","I want to apologize properly for forgetting my promise to help you move. I know I only apologized briefly at the time, and then I didn’t reach out for a whole week after it happened. I’m really sorry about that. I should have handled it better and checked in sooner. I just wanted to say that directly instead of leaving it hanging. Also, I wanted to ask if everything is okay with you. If you feel like talking, let me know.",,,,2026-04-04T22:21:45.814Z
44262277-b848-4eac-954e-106f217e5758,P003,AIMC-JJK9,S3,4bbfeeb9-9c0b-41ed-9a60-8debe9a23459,1,2,thought_partner,scenario_b,completed,completed,536,132,762,1,0,0,0,0,0,,,,,172,,,,,,"[{""dimension"":""Own feelings"",""question"":""What feelings come up when you think about Jordan helping you before, and now needing another favor from him?""},{""dimension"":""Recipient's perspective"",""question"":""If you were Jordan, how might the lack of thanks and this new job request land with you?""},{""dimension"":""Communication intent"",""question"":""What do you most want Jordan to understand about why his support mattered then and why this matters now?""},{""dimension"":""Relational context"",""question"":""How could this moment affect your friendship with Jordan, depending on whether he feels appreciated or only needed?""}]","[{""question_order"":1,""question"":""What feelings come up when you think about Jordan helping you before, and now needing another favor from him?"",""response"":""Awkward\n""},{""question_order"":2,""question"":""If you were Jordan, how might the lack of thanks and this new job request land with you?"",""response"":""not want to help so much""},{""question_order"":3,""question"":""What do you most want Jordan to understand about why his support mattered then and why this matters now?"",""response"":""he help me go through the difficult time and I really grateful for that, just do not have time to say that. And the job is kinda important to me. ""},{""question_order"":4,""question"":""How could this moment affect your friendship with Jordan, depending on whether he feels appreciated or only needed?"",""response"":""I think we can remind good friends if he feels appreciated but things may be awkward if he only feels needed.\n""}]","Hi, Jordan.  It is been a while since last talk. I am doing better now thanks to all your help and support back then. I really want to say thank you so much for all the sweet things you have done to me and it is you that support me through that dark days. You know that I am not a person good at express my feelings and I waited for the right time to say thank you to you but somehow the moment didn't feel right. And here is some new updates! I am now recover from depression and now trying to get a job. I think you also know the company if my memory is right. So, is it possible to talk to you a bit about all the things?",2026-04-04T22:31:14.001Z
44262277-b848-4eac-954e-106f217e5758,P003,AIMC-JJK9,S3,4bbfeeb9-9c0b-41ed-9a60-8debe9a23459,2,3,editor,scenario_c,completed,completed,377,115,755,1,4,2,0,2,2,0.5,0,0.5,,,"Hi Riley, Haven't spoke to you for a while. How's everything going? I always think about our last date and it is a pity that you could not make it. We would have a lot of fun that day! Anyway miss you now. And how's everything going with your partner? Is your relationship goes well? I just couldn't help to notice that you are much quieter than before, where is my happy Riley? I don't want you to lose yourself in a relationship cause you are always this lovely and shining princess to me! Let's hung out sometimes, miss you!","Hi Riley, Haven't spoke to you for a while. How's everything going? I always think about our last date and it is a little sad that you could not make it. We would have a lot of fun that day! Anyway miss you now. How have things been for you lately, including in your relationship, if you feel like sharing? I just couldn't help to notice that you are much quieter than before, where is my happy Riley? I don't want you to lose yourself in a relationship cause you are always this lovely and shining princess to me! I’d love to catch up sometime soon—maybe coffee or a walk next week? I miss you.","[{""suggestion_id"":53,""ai_call_created_at"":""2026-04-04T22:36:43.165Z"",""original_segment"":""where is my happy Riley?"",""suggested_change"":""I’ve noticed you seem a bit quieter lately, and I just wanted to check in on how you’ve been feeling."",""category"":""tone"",""reason_text"":""Softer wording avoids sounding judgmental or dismissive."",""action_status"":""reject"",""user_modified_text"":null},{""suggestion_id"":54,""ai_call_created_at"":""2026-04-04T22:36:43.165Z"",""original_segment"":""And how's everything going with your partner? Is your relationship goes well?"",""suggested_change"":""How have things been for you lately, including in your relationship, if you feel like sharing?"",""category"":""empathy"",""reason_text"":""Respects privacy and invites sharing without pressure."",""action_status"":""accept"",""user_modified_text"":null},{""suggestion_id"":55,""ai_call_created_at"":""2026-04-04T22:36:43.165Z"",""original_segment"":""Let's hung out sometimes, miss you!"",""suggested_change"":""I’d love to catch up sometime soon—maybe coffee or a walk next week? I miss you."",""category"":""specificity"",""reason_text"":""Adds a concrete invitation instead of a vague plan."",""action_status"":""accept"",""user_modified_text"":null},{""suggestion_id"":56,""ai_call_created_at"":""2026-04-04T22:36:43.165Z"",""original_segment"":""I always think about our last date and it is a pity that you could not make it."",""suggested_change"":""I still think about the last time we planned to meet, and I was disappointed we didn’t get to see each other."",""category"":""clarity"",""reason_text"":""Makes the meaning clearer and fixes awkward phrasing."",""action_status"":""reject"",""user_modified_text"":null}]",,,,,,2026-04-04T22:38:37.446Z
e3e88163-4975-4a88-8e13-1bd770c5b525,P004,AIMC-EUEH,S1,6e08eee3-418f-4ddc-b5db-5f28e11bc417,0,1,thought_partner,scenario_a,completed,completed,1208,92,1209,1,0,0,0,0,0,,,,,329,,,,,,"[{""dimension"":""Own feelings"",""question"":""Beyond guilt, what are you feeling about double-booking Alex’s move and texting only a brief apology that day?""},{""dimension"":""Recipient's perspective"",""question"":""If you were Alex, after counting on your help to move, what feelings or reassurance might matter most?""},{""dimension"":""Communication intent"",""question"":""What do you most want Alex to understand about your fault here, and why does that matter to you?""},{""dimension"":""Relational context"",""question"":""What feels most at stake in your friendship with Alex, depending on how this situation is understood?""}]","[{""question_order"":1,""question"":""Beyond guilt, what are you feeling about double-booking Alex’s move and texting only a brief apology that day?"",""response"":""Disappointed in myself for making this mistake, wanting to make up for it properly.""},{""question_order"":2,""question"":""If you were Alex, after counting on your help to move, what feelings or reassurance might matter most?"",""response"":""A promise to do better probably won't be enough? Reassurance that I am aware that I deserve to be in the dog house for that?""},{""question_order"":3,""question"":""What do you most want Alex to understand about your fault here, and why does that matter to you?"",""response"":""That it's me that screwed up, and that any feelings that arose from that situation is completely valid. I want to acknowledge that I know that I've let him down during this stressful time. ""},{""question_order"":4,""question"":""What feels most at stake in your friendship with Alex, depending on how this situation is understood?"",""response"":""Alex might beleive that I didn't care enough, or that I considered having fun with my other group of friends to be more important than helping him out.""}]","Alex, I feel like my previous apology about not helping you out when you were moving was not enough. I'm so sorry that I didn't come by after promising to help you move. This is 100% my fault for forgetting about it, and I definitely added to how stressful everything is for you right now. I really do want to make it up for you - if there's anything I can do to regain your trust, let me know. Maybe we can meet up for dinner so I can apologize in person? ",2026-04-03T20:25:39.690Z
